"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
139,51,0,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
715,51,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
712,49,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
720,49,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
721,49,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
2,48,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
744,47,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
711,45,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
717,42,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
722,39,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
5,38,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
716,38,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
64,36,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
52,33,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
726,31,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
54,30,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
736,30,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
727,29,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
743,29,0,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
712,29,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
53,28,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
737,27,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
746,15,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
738,14,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
71,115,0,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
88,107,0,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
86,96,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
